款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前次決算數,本年度與上年度比較,說明
,,,,,合          計,"1,511,713,010 ","1,384,582,416 ","1,464,506,162 ","127,130,594 ",
1,,,,0100000000,稅課收入,"1,117,100,000 ","998,395,000 ","1,067,719,853 ","118,705,000 ",
1,1,,,0117010000,財政部,"1,117,100,000 ","998,395,000 ","1,067,719,215 ","118,705,000 ",
1,1,1,,0117010100,所得稅,"587,905,000 ","483,757,000 ","563,226,303 ","104,148,000 ",
1,1,1,1,0117010101,營利事業所得稅,"309,505,000 ","248,714,000 ","296,421,354 ","60,791,000 ","估計本年度收入如列數，其中臺
北市國稅局為163,005,445千元
，高雄市國稅局為30,847,000千
元，臺灣省北區國稅局為81,435
,000千元，臺灣省中區國稅局為
38,035,000千元，臺灣省南區國
稅局為30,572,000千元，合共 3
43,894,445千元，按90％計列30
9,505,000千元。
"
1,1,1,2,0117010102,綜合所得稅,"278,400,000 ","235,043,000 ","266,804,948 ","43,357,000 ","估計本年度收入如列數，其中臺
北市國稅局為170,349,334千元
，高雄市國稅局為 18,169,000
千元，臺灣省北區國稅局為 79,
379,000千元，臺灣省中區國稅
局為 22,138,000千元，臺灣省
南區國稅局為19,298,000千元，
合共309,333,334 千元，按90％
計列278,400,000千元。
"
1,1,2,,0117010200,遺產及贈與稅,"9,327,000 ","10,100,000 ","10,280,482 ","-773,000 ",
1,1,2,1,0117010201,遺產稅,"7,462,000 ","8,080,000 ","8,124,726 ","-618,000 ","估計本年度收入如列數，其中臺
北市國稅局為8,522,000千元，
按50％ 計列4,261,000千元，高
雄市國稅局為1,442,000千元，
按50％計列721,000千元；臺灣
省北區國稅局為7,200,000千元
，臺灣省中區國稅局為3,000,00
0千元，臺灣省南區國稅局為2,2
00,000千元，合共12,400,000千
元，按20％計列2,480,000千元
。
"
1,1,2,2,0117010202,贈與稅,"1,865,000 ","2,020,000 ","2,155,756 ","-155,000 ","估計本年度收入如列數，其中臺
北市國稅局為2,130,000千元，
按50％計列1,065,000千元，高
雄市國稅局為360,000千元，按5
0％計列180,000千元；臺灣省北
區國稅局為1,800,000千元，臺
灣省中區國稅局為750,000千元
，臺灣省南區國稅局為550,000
千元，合共3,100,000千元，按2
0％ 計列620,000千元。
"
1,1,3,,0117010300,關稅,"88,000,000 ","84,200,000 ","82,373,668 ","3,800,000 ","估計本年度收入如列數。
"
1,1,4,,0117010400,貨物稅,"147,600,000 ","146,300,000 ","151,569,813 ","1,300,000 ","估計本年度收入如列數，其中臺
北市國稅局為80,000千元，高雄
市國稅局為44,382,000千元，臺
灣省北區國稅局為79,871,000千
元，臺灣省中區國稅局為34,839
,000千元，臺灣省南區國稅局為
4,828,000千元，合計共164,000
,000千元，按90％計列147,600,
000千元。
"
1,1,5,,0117010500,證券交易稅,"89,600,000 ","88,905,000 ","68,203,677 ","695,000 ","估計本年度收入如列數，其中臺
北市國稅局為50,725,000千元，
高雄市國稅局為5,019,000千元
，臺灣省北區國稅局為16,715,0
00千元，臺灣省中區國稅局為9,
817,000千元，臺灣省南區國稅
局為7,324,000千元。
"
