款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,前年度決算數,"本年度與
上年度比較",說明
,,,,,合計,"1,601,616,717 ","1,488,689,851 ","1,546,372,421 ","112,926,866 ",
1,,,,0100000000,稅課收入,"1,188,400,000 ","1,112,220,000 ","1,094,282,130 ","76,180,000 ",
1,1,,,0117010000,財政部,"1,188,400,000 ","1,112,220,000 ","1,094,281,972 ","76,180,000 ",
1,1,1,,0117010100,所得稅,"639,997,000 ","587,905,000 ","581,595,974 ","52,092,000 ",
1,1,1,1,0117010101,營利事業所得稅,"311,222,000 ","309,505,000 ","280,698,802 ","1,717,000 ","估計本年度收入如列數，其中臺
北市國稅局為155,057,222千元
，高雄市國稅局為32,229,000千
元，臺灣省北區國稅局為86,001
,000千元，臺灣省中區國稅局為
42,188,000千元，臺灣省南區國
稅局為30,327,000千元，合共34
5,802,222千元，按90％計列311
,222,000千元。
"
1,1,1,2,0117010102,綜合所得稅,"328,775,000 ","278,400,000 ","300,897,172 ","50,375,000 ","估計本年度收入如列數，其中臺
北市國稅局為198,804,555千元
，高雄市國稅局為21,600,000千
元，臺灣省北區國稅局為95,558
,000千元，臺灣省中區國稅局為
27,779,000千元，臺灣省南區國
稅局為21,564,000千元，合共 3
65,305,555千元，按90％計列32
8,775,000千元。
"
1,1,2,,0117010200,遺產及贈與稅,"5,500,000 ","9,327,000 ","9,975,313 ","-3,827,000 ",
1,1,2,1,0117010201,遺產稅,"4,400,000 ","7,462,000 ","8,218,575 ","-3,062,000 ","估計本年度收入如列數，其中臺
北市國稅局為5,280,000千元，
按50％ 計列2,640,000千元，高
雄市國稅局為580,000千元，按5
0％計列290,000千元；臺灣省北
區國稅局為4,185,000千元，臺
灣省中區國稅局為1,765,000千
元，臺灣省南區國稅局為1,400,
000千元，合共7,350,000千元，
按20％計列1,470,000千元。
"
1,1,2,2,0117010202,贈與稅,"1,100,000 ","1,865,000 ","1,756,738 ","-765,000 ","估計本年度收入如列數，其中臺
北市國稅局為1,320,000千元，
按50％計列660,000千元，高雄
市國稅局為144,000千元，按50
％計列72,000千元；臺灣省北區
國稅局為1,050,000千元，臺灣
省中區國稅局為440,000千元，
臺灣省南區國稅局為350,000千
元，合共1,840,000千元，按20
％ 計列368,000千元。
"
1,1,3,,0117010300,關稅,"83,500,000 ","87,600,000 ","79,566,925 ","-4,100,000 ","估計本年度收入如列數。
"
1,1,4,,0117010400,貨物稅,"136,346,000 ","147,600,000 ","143,281,330 ","-11,254,000 ","估計本年度收入如列數，其中臺
北市國稅局為80,000千元，高雄
市國稅局為40,351,000千元，臺
灣省北區國稅局為74,205,556千
元，臺灣省中區國稅局為32,209
,000千元，臺灣省南區國稅局為
4,650,000千元，合共151,495,5
56千元，按90％計列136,346,00
0千元。
"
1,1,5,,0117010500,證券交易稅,"117,700,000 ","85,120,000 ","89,954,386 ","32,580,000 ","估計本年度收入如列數，其中臺
北市國稅局為65,286,000千元，
高雄市國稅局為6,413,000千元
，臺灣省北區國稅局為22,813,0
00千元，臺灣省中區國稅局為13
,570,000千元，臺灣省南區國稅
局為9,618,000千元。
"
1,1,6,,0117010800,期貨交易稅,"4,675,000 ","6,768,000 ","4,072,486 ","-2,093,000 ","估計本年度收入如列數，其中臺
北市國稅局為4,327,000千元，
高雄市國稅局為97,000千元，臺
灣省北區國稅局為89,000千元，
臺灣省中區國稅局為137,000千
元，臺灣省南區國稅局為25,000
千元。
"
1,1,7,,0117010900,菸酒稅,"42,700,000 ","40,800,000 ","40,833,596 ","1,900,000 ","估計本年度收入如列數，其中臺
北市國稅局為46,000千元，高雄
市國稅局為3,708,000千元，臺
灣省北區國稅局為29,939,000千
元，臺灣省中區國稅局為10,620
,000千元，臺灣省南區國稅局為
9,062,000千元，合共53,375,00
0千元，按80％計列42,700,000
千元。
"
1,1,8,,0117011100,營業稅,"157,982,000 ","147,100,000 ","145,001,962 ","10,882,000 ","估計本年度營業收入258,140,52
3千元，依加值型及非加值型營
業稅法第58條規定，提撥統一發
票獎金之經費外，另按餘數提列
60％計150,237,784千元，合共
如列數，其中臺北市國稅局為90
,036,000千元，高雄市國稅局為
10,247,000千元，臺灣省北區國
稅局為24,455,000千元，臺灣省
中區國稅局為21,193,000千元，
臺灣省南區國稅局為12,051,000
千元。
"
1,2,,,0126010000,經濟部,-,-,158 ,-,
1,2,1,,0126010600,礦區稅,-,-,158 ,-,"前年度決算數係開徵礦區稅及追
繳以前各期欠稅等收入。
"
2,,,,0400000000,罰款及賠償收入,"21,668,047 ","21,380,267 ","21,665,693 ","287,780 ",
2,1,,,0402010000,總統府,-,-,14 ,-,
2,1,1,,0402010300,賠償收入,-,-,14 ,-,
2,1,1,1,0402010301,一般賠償收入,-,-,14 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,2,,,0402300000,國史館,-,-,14 ,-,
2,2,1,,0402300300,賠償收入,-,-,14 ,-,
2,2,1,1,0402300301,一般賠償收入,-,-,14 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,3,,,0402310000,國史館臺灣文獻館,-,-,433 ,-,
2,3,1,,0402310300,賠償收入,-,-,433 ,-,
2,3,1,1,0402310301,一般賠償收入,-,-,433 ,-,"前年度決算數係廠商違約逾期交
貨之賠償收入。
"
2,4,,,0402400000,中央研究院,"1,700 ","1,700 ","3,333 ",-,
2,4,1,,0402400300,賠償收入,"1,700 ","1,700 ","3,333 ",-,
2,4,1,1,0402400301,一般賠償收入,"1,700 ","1,700 ","3,333 ",-,"本年度預算數係圖書借閱逾期、
廠商違約逾期交貨等賠償收入。
"
2,5,,,0403010000,行政院,-,-,144 ,-,
2,5,1,,0403010300,賠償收入,-,-,144 ,-,
