year,code,amount,name,topname,depname,depcat,cat,ref
2013,0117010101,350251000000,營利事業所得稅,稅課收入,財政部,所得稅,,1.1.1.1
2013,0117010102,344141000000,綜合所得稅,稅課收入,財政部,所得稅,,1.1.1.2
2013,0117010201,7288000000,遺產稅,稅課收入,財政部,遺產及贈與稅,,1.1.2.1
2013,0117010202,3124000000,贈與稅,稅課收入,財政部,遺產及贈與稅,,1.1.2.2
2013,0402010301,NaN,一般賠償收入,罰款及賠償收入,總統府,賠償收入,,2.1.1.1
2013,0402300301,NaN,一般賠償收入,罰款及賠償收入,國史館,賠償收入,,2.2.1.1
2013,0402310301,NaN,一般賠償收入,罰款及賠償收入,國史館臺灣文獻館,賠償收入,,2.3.1.1
2013,0402400301,7235000,一般賠償收入,罰款及賠償收入,中央研究院,賠償收入,,2.4.1.1
2013,0403010301,84000,一般賠償收入,罰款及賠償收入,行政院,賠償收入,,2.5.1.1
2013,0403100301,NaN,一般賠償收入,罰款及賠償收入,主計總處,賠償收入,,2.6.1.1
2013,0403300201,NaN,沒入金,罰款及賠償收入,人事行政總處,沒入及沒收財物,,2.7.1.1
2013,0403300301,NaN,一般賠償收入,罰款及賠償收入,人事行政總處,賠償收入,,2.7.2.1
2013,0403310301,NaN,一般賠償收入,罰款及賠償收入,公務人力發展中心,賠償收入,,2.8.1.1
2013,0403330301,NaN,一般賠償收入,罰款及賠償收入,地方行政研習中心,賠償收入,,2.9.1.1
2013,0403400301,100000,一般賠償收入,罰款及賠償收入,國立故宮博物院,賠償收入,,2.10.1.1
2013,0403500301,NaN,一般賠償收入,罰款及賠償收入,經濟建設委員會,賠償收入,,2.11.1.1
2013,0403640301,NaN,一般賠償收入,罰款及賠償收入,客家委員會及所屬,賠償收入,,2.12.1.1
2013,0403670101,NaN,罰金罰鍰,罰款及賠償收入,中央選舉委員會及所屬,罰金罰鍰及怠金,,2.13.1.1
2013,0403670201,NaN,沒入金,罰款及賠償收入,中央選舉委員會及所屬,沒入及沒收財物,,2.13.2.1
2013,0403670301,NaN,一般賠償收入,罰款及賠償收入,中央選舉委員會及所屬,賠償收入,,2.13.3.1
2013,0403800301,NaN,一般賠償收入,罰款及賠償收入,研究發展考核委員會,賠償收入,,2.14.1.1
2013,0403810301,94000,一般賠償收入,罰款及賠償收入,檔案管理局,賠償收入,,2.15.1.1
2013,0403820101,200866000,罰金罰鍰,罰款及賠償收入,公平交易委員會,罰金罰鍰及怠金,,2.16.1.1
2013,0403820301,NaN,一般賠償收入,罰款及賠償收入,公平交易委員會,賠償收入,,2.16.2.1
2013,0403850101,56828000,罰金罰鍰,罰款及賠償收入,國家通訊傳播委員會,罰金罰鍰及怠金,,2.17.1.1
2013,0403850102,NaN,怠金,罰款及賠償收入,國家通訊傳播委員會,罰金罰鍰及怠金,,2.17.1.2
2013,0403850202,NaN,沒收物變價,罰款及賠償收入,國家通訊傳播委員會,沒入及沒收財物,,2.17.2.1
2013,0403850301,NaN,一般賠償收入,罰款及賠償收入,國家通訊傳播委員會,賠償收入,,2.17.3.1
2013,0403900301,NaN,一般賠償收入,罰款及賠償收入,大陸委員會,賠償收入,,2.18.1.1
2013,0403950101,300000,罰金罰鍰,罰款及賠償收入,公共工程委員會,罰金罰鍰及怠金,,2.19.1.1
2013,0403950301,NaN,一般賠償收入,罰款及賠償收入,公共工程委員會,賠償收入,,2.19.2.1
2013,0403970301,NaN,一般賠償收入,罰款及賠償收入,原住民族委員會,賠償收入,,2.20.1.1
2013,0403960301,NaN,一般賠償收入,罰款及賠償收入,文化園區管理局,賠償收入,,2.21.1.1
2013,0404010301,NaN,一般賠償收入,罰款及賠償收入,立法院,賠償收入,,2.22.1.1
2013,0405010301,NaN,一般賠償收入,罰款及賠償收入,司法院,賠償收入,,2.23.1.1
2013,0405200301,NaN,一般賠償收入,罰款及賠償收入,公務員懲戒委員會,賠償收入,,2.24.1.1
2013,0405250301,NaN,一般賠償收入,罰款及賠償收入,司法人員研習所,賠償收入,,2.25.1.1
2013,0405300101,109000,罰金罰鍰,罰款及賠償收入,臺灣高等法院,罰金罰鍰及怠金,,2.26.1.1
2013,0405300201,3171000,沒入金,罰款及賠償收入,臺灣高等法院,沒入及沒收財物,,2.26.2.1
2013,0405300302,90000,賠償求償收入,罰款及賠償收入,臺灣高等法院,賠償收入,,2.26.3.1
2013,0405310101,20000,罰金罰鍰,罰款及賠償收入,臺灣高等法院臺中分院,罰金罰鍰及怠金,,2.27.1.1
2013,0405310201,760000,沒入金,罰款及賠償收入,臺灣高等法院臺中分院,沒入及沒收財物,,2.27.2.1
2013,0405320101,10000,罰金罰鍰,罰款及賠償收入,臺灣高等法院臺南分院,罰金罰鍰及怠金,,2.28.1.1
2013,0405320201,500000,沒入金,罰款及賠償收入,臺灣高等法院臺南分院,沒入及沒收財物,,2.28.2.1
2013,0405320301,NaN,一般賠償收入,罰款及賠償收入,臺灣高等法院臺南分院,賠償收入,,2.28.3.1
2013,0405330101,10000,罰金罰鍰,罰款及賠償收入,臺灣高等法院高雄分院,罰金罰鍰及怠金,,2.29.1.1
2013,0405330201,1000000,沒入金,罰款及賠償收入,臺灣高等法院高雄分院,沒入及沒收財物,,2.29.2.1
2013,0405340101,10000,罰金罰鍰,罰款及賠償收入,臺灣高等法院花蓮分院,罰金罰鍰及怠金,,2.30.1.1
2013,0405340201,100000,沒入金,罰款及賠償收入,臺灣高等法院花蓮分院,沒入及沒收財物,,2.30.2.1
